Date,Close,Volume
16-Sep-05,6.63,12600
19-Sep-05,6.39,37100
20-Sep-05,6.37,57900
21-Sep-05,6.38,49900
22-Sep-05,6.41,13500
23-Sep-05,6.39,6400
26-Sep-05,6.4,12300
27-Sep-05,6.41,6200
28-Sep-05,6.25,19400
29-Sep-05,6.31,21900
30-Sep-05,6.34,20500
3-Oct-05,6.26,42900
4-Oct-05,6.21,39700
5-Oct-05,6.22,26200
6-Oct-05,6.25,45000
7-Oct-05,6.25,23800
10-Oct-05,6.2,4600
11-Oct-05,6.2,19700
12-Oct-05,6.15,33000
13-Oct-05,6.14,10700
14-Oct-05,6.17,7900
17-Oct-05,6.17,9100
18-Oct-05,6.18,15700
19-Oct-05,6.24,14300
20-Oct-05,6.1,42100
21-Oct-05,6.08,25200
24-Oct-05,6.0,19300
25-Oct-05,5.96,33600
26-Oct-05,6.01,39500
27-Oct-05,6.03,13600
28-Oct-05,6.02,8200
31-Oct-05,6.04,13900
1-Nov-05,6.32,109500
2-Nov-05,6.36,21200
3-Nov-05,6.36,14800
4-Nov-05,6.38,10100
7-Nov-05,6.28,10100
8-Nov-05,6.1,48200
9-Nov-05,6.12,39000
10-Nov-05,6.1,30200
11-Nov-05,6.1,49600
14-Nov-05,6.05,19900
15-Nov-05,6.08,17000
16-Nov-05,5.91,20400
17-Nov-05,5.7,26900
18-Nov-05,5.49,57600
21-Nov-05,5.23,71700
22-Nov-05,5.17,34300
23-Nov-05,5.17,22400
25-Nov-05,5.2,2000
28-Nov-05,5.18,35800
29-Nov-05,5.2,19000
30-Nov-05,5.19,9100
1-Dec-05,5.24,29700
2-Dec-05,5.19,81800
5-Dec-05,5.06,22900
6-Dec-05,5.08,12600
7-Dec-05,5.11,58500
8-Dec-05,5.09,31700
9-Dec-05,5.05,11500
12-Dec-05,5.16,104800
13-Dec-05,5.12,9700
14-Dec-05,5.15,61800
15-Dec-05,5.1,43700
16-Dec-05,5.13,4900
19-Dec-05,5.3,56900
20-Dec-05,5.24,10800
21-Dec-05,5.12,8100
22-Dec-05,5.07,34500
23-Dec-05,5.05,26900
27-Dec-05,5.0,29600
28-Dec-05,5.0,25200
29-Dec-05,4.8,16300
30-Dec-05,5.0,38300
3-Jan-06,4.98,12600
4-Jan-06,5.19,45800
5-Jan-06,5.04,27400
6-Jan-06,5.0,25600
9-Jan-06,4.99,22300
10-Jan-06,4.97,31500
11-Jan-06,4.99,12300
12-Jan-06,4.99,17700
13-Jan-06,4.9,48800
17-Jan-06,4.9,15200
18-Jan-06,4.85,18200
19-Jan-06,4.94,17800
